VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w, ATTRIBUTE12.x, ATTRIBUTE12.y, ATTRIBUTE12.z, ATTRIBUTE11.x, ATTRIBUTE11.y, ATTRIBUTE11.z
10, 30866, 10.11094, 1.33811, 174.9361, -0.11024, -0.98425, 0.13386, 1.00, 0.59843, 0.03937, 0.80315, 1.00, 0.12451, 0.02454, 0.94043, 0.65039, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11, 30865, 9.69628, 1.24522, 175.18568, -0.20472, -0.9685, 0.11024, 1.00, 0.4252, 0.00787, 0.90551, 1.00, 0.13269, 0.01553, 0.94043, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12, 30866, 10.11094, 1.33811, 174.9361, -0.11024, -0.98425, 0.13386, 1.00, 0.59843, 0.03937, 0.80315, 1.00, 0.12451, 0.02454, 0.94043, 0.65039, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13, 30867, 10.0784, 1.03369, 174.97433, -0.11024, -0.98425, 0.12598, 1.00, 0.5748, 0.03937, 0.8189, 1.00, 0.13562, 0.02454, 0.94092, 0.65039, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14, 30865, 9.69628, 1.24522, 175.18568, -0.20472, -0.9685, 0.11024, 1.00, 0.4252, 0.00787, 0.90551, 1.00, 0.13269, 0.01553, 0.94043, 0.6499, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15, 30868, 10.55527, 1.24375, 174.56059, -0.09449, -0.98425, 0.17323, 1.00, 0.68504, 0.05512, 0.72441, 1.00, 0.12451, 0.03491, 0.94043, 0.65088, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16, 30867, 10.0784, 1.03369, 174.97433, -0.11024, -0.98425, 0.12598, 1.00, 0.5748, 0.03937, 0.8189, 1.00, 0.13562, 0.02454, 0.94092, 0.65039, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17, 30866, 10.11094, 1.33811, 174.9361, -0.11024, -0.98425, 0.13386, 1.00, 0.59843, 0.03937, 0.80315, 1.00, 0.12451, 0.02454, 0.94043, 0.65039, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18, 30867, 10.0784, 1.03369, 174.97433, -0.11024, -0.98425, 0.12598, 1.00, 0.5748, 0.03937, 0.8189, 1.00, 0.13562, 0.02454, 0.94092, 0.65039, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19, 30868, 10.55527, 1.24375, 174.56059, -0.09449, -0.98425, 0.17323, 1.00, 0.68504, 0.05512, 0.72441, 1.00, 0.12451, 0.03491, 0.94043, 0.65088, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20, 30869, 10.51339, 0.82191, 174.63484, -0.09449, -0.98425, 0.17323, 1.00, 0.66929, 0.06299, 0.74016, 1.00, 0.13757, 0.03491, 0.94092, 0.65088, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21, 30870, 11.03795, 1.11783, 174.07228, -0.04724, -0.97638, 0.19685, 1.00, 0.73228, 0.10236, 0.67717, 1.00, 0.12451, 0.04703, 0.94043, 0.65137, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22, 30869, 10.51339, 0.82191, 174.63484, -0.09449, -0.98425, 0.17323, 1.00, 0.66929, 0.06299, 0.74016, 1.00, 0.13757, 0.03491, 0.94092, 0.65088, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23, 30868, 10.55527, 1.24375, 174.56059, -0.09449, -0.98425, 0.17323, 1.00, 0.68504, 0.05512, 0.72441, 1.00, 0.12451, 0.03491, 0.94043, 0.65088, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24, 30869, 10.51339, 0.82191, 174.63484, -0.09449, -0.98425, 0.17323, 1.00, 0.66929, 0.06299, 0.74016, 1.00, 0.13757, 0.03491, 0.94092, 0.65088, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25, 30870, 11.03795, 1.11783, 174.07228, -0.04724, -0.97638, 0.19685, 1.00, 0.73228, 0.10236, 0.67717, 1.00, 0.12451, 0.04703, 0.94043, 0.65137, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26, 30871, 11.00655, 0.56877, 174.17795, -0.05512, -0.97638, 0.18898, 1.00, 0.72441, 0.08661, 0.68504, 1.00, 0.13879, 0.04703, 0.94092, 0.65137, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27, 30872, 11.53816, 0.95195, 173.54823, -0.0315, -0.98425, 0.17323, 1.00, 0.75591, 0.08661, 0.65354, 1.00, 0.12463, 0.05936, 0.94043, 0.65186, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
28, 30871, 11.00655, 0.56877, 174.17795, -0.05512, -0.97638, 0.18898, 1.00, 0.72441, 0.08661, 0.68504, 1.00, 0.13879, 0.04703, 0.94092, 0.65137, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
29, 30870, 11.03795, 1.11783, 174.07228, -0.04724, -0.97638, 0.19685, 1.00, 0.73228, 0.10236, 0.67717, 1.00, 0.12451, 0.04703, 0.94043, 0.65137, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
30, 30871, 11.00655, 0.56877, 174.17795, -0.05512, -0.97638, 0.18898, 1.00, 0.72441, 0.08661, 0.68504, 1.00, 0.13879, 0.04703, 0.94092, 0.65137, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
31, 30872, 11.53816, 0.95195, 173.54823, -0.0315, -0.98425, 0.17323, 1.00, 0.75591, 0.08661, 0.65354, 1.00, 0.12463, 0.05936, 0.94043, 0.65186, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
32, 30873, 11.49298, 0.32147, 173.66496, -0.08661, -0.97638, 0.19685, 1.00, 0.75591, 0.07087, 0.65354, 1.00, 0.13879, 0.05936, 0.94092, 0.65186, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
33, 30870, 11.03795, 1.11783, 174.07228, -0.04724, -0.97638, 0.19685, 1.00, 0.73228, 0.10236, 0.67717, 1.00, 0.12451, 0.04703, 0.94043, 0.65137, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
34, 30874, 11.52999, 1.0115, 173.53069, 0.13386, -0.95276, 0.28346, 1.00, 0.76378, 0.27559, 0.58268, 1.00, 0.11884, 0.05936, 0.93994, 0.65186, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
35, 30872, 11.53816, 0.95195, 173.54823, -0.0315, -0.98425, 0.17323, 1.00, 0.75591, 0.08661, 0.65354, 1.00, 0.12463, 0.05936, 0.94043, 0.65186, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
36, 30875, 13.59793, 0.0571, 169.61752, 0.3622, -0.86614, 0.33858, 1.00, 0.92126, 0.38583, -0.00787, 1.00, 0.11884, 0.13879, 0.93994, 0.65527, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
37, 30876, 13.35372, 0.33119, 170.82069, 0.37008, -0.88976, 0.27559, 1.00, 0.88189, 0.43307, 0.18898, 1.00, 0.11884, 0.11804, 0.93994, 0.6543, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
38, 30877, 13.48696, 0.11589, 169.58492, 0.85827, -0.44882, 0.25197, 1.00, 0.49606, 0.85039, -0.16535, 1.00, 0.1156, 0.13879, 0.93994, 0.65527, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
39, 30877, 13.48696, 0.11589, 169.58492, 0.85827, -0.44882, 0.25197, 1.00, 0.49606, 0.85039, -0.16535, 1.00, 0.1156, 0.13879, 0.93994, 0.65527, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
40, 30878, 13.6072, -0.30223, 168.44978, 0.35433, -0.84252, 0.40945, 1.00, 0.93701, 0.30709, -0.16535, 1.00, 0.11884, 0.15869, 0.93994, 0.65625, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 0, 0, 0, 0, 0, 0, 0.97647, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
41, 30875, 13.59793, 0.0571, 169.61752, 0.3622, -0.86614, 0.33858, 1.00, 0.92126, 0.38583, -0.00787, 1.00, 0.11884, 0.13879, 0.93994, 0.65527, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
42, 30877, 13.48696, 0.11589, 169.58492, 0.85827, -0.44882, 0.25197, 1.00, 0.49606, 0.85039, -0.16535, 1.00, 0.1156, 0.13879, 0.93994, 0.65527, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
43, 30879, 13.47975, -0.20314, 168.3938, 0.74803, -0.58268, 0.32283, 1.00, 0.66142, 0.68504, -0.29134, 1.00, 0.1156, 0.15869, 0.93994, 0.65625, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 0, 0, 0, 0, 0, 0, 0.97647, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
44, 30878, 13.6072, -0.30223, 168.44978, 0.35433, -0.84252, 0.40945, 1.00, 0.93701, 0.30709, -0.16535, 1.00, 0.11884, 0.15869, 0.93994, 0.65625, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 0, 0, 0, 0, 0, 0, 0.97647, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
45, 30879, 13.47975, -0.20314, 168.3938, 0.74803, -0.58268, 0.32283, 1.00, 0.66142, 0.68504, -0.29134, 1.00, 0.1156, 0.15869, 0.93994, 0.65625, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 0, 0, 0, 0, 0, 0, 0.97647, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
46, 30880, 13.47161, -0.71474, 167.50743, 0.3937, -0.82677, 0.3937, 1.00, 0.90551, 0.27559, -0.33071, 1.00, 0.11884, 0.1759, 0.93994, 0.65723, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 0, 0, 0, 0, 0, 0.87451, 0.11765, 0.00784, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
47, 30878, 13.6072, -0.30223, 168.44978, 0.35433, -0.84252, 0.40945, 1.00, 0.93701, 0.30709, -0.16535, 1.00, 0.11884, 0.15869, 0.93994, 0.65625, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 0, 0, 0, 0, 0, 0, 0.97647, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
48, 30880, 13.47161, -0.71474, 167.50743, 0.3937, -0.82677, 0.3937, 1.00, 0.90551, 0.27559, -0.33071, 1.00, 0.11884, 0.1759, 0.93994, 0.65723, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 0, 0, 0, 0, 0, 0.87451, 0.11765, 0.00784, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
49, 30879, 13.47975, -0.20314, 168.3938, 0.74803, -0.58268, 0.32283, 1.00, 0.66142, 0.68504, -0.29134, 1.00, 0.1156, 0.15869, 0.93994, 0.65625, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 0, 0, 0, 0, 0, 0, 0.97647, 0.02353, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
50, 30881, 13.33542, -0.63669, 167.47159, 0.84252, -0.48819, 0.22047, 1.00, 0.52756, 0.70866, -0.47244, 1.00, 0.1156, 0.1759, 0.93994, 0.65723, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 0, 0, 0, 0, 0, 0.87451, 0.11765, 0.00784, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
51, 30881, 13.33542, -0.63669, 167.47159, 0.84252, -0.48819, 0.22047, 1.00, 0.52756, 0.70866, -0.47244, 1.00, 0.1156, 0.1759, 0.93994, 0.65723, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 0, 0, 0, 0, 0, 0.87451, 0.11765, 0.00784, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
52, 30882, 13.19248, -1.28363, 166.48827, 0.40945, -0.81102, 0.4252, 1.00, 0.87402, 0.2126, -0.44094, 1.00, 0.11884, 0.19507, 0.93994, 0.6582, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 0, 0, 0, 0, 0, 0.69804, 0.21569, 0.08627, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
53, 30880, 13.47161, -0.71474, 167.50743, 0.3937, -0.82677, 0.3937, 1.00, 0.90551, 0.27559, -0.33071, 1.00, 0.11884, 0.1759, 0.93994, 0.65723, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 0, 0, 0, 0, 0, 0.87451, 0.11765, 0.00784, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
54, 30882, 13.19248, -1.28363, 166.48827, 0.40945, -0.81102, 0.4252, 1.00, 0.87402, 0.2126, -0.44094, 1.00, 0.11884, 0.19507, 0.93994, 0.6582, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 0, 0, 0, 0, 0, 0.69804, 0.21569, 0.08627, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
55, 30881, 13.33542, -0.63669, 167.47159, 0.84252, -0.48819, 0.22047, 1.00, 0.52756, 0.70866, -0.47244, 1.00, 0.1156, 0.1759, 0.93994, 0.65723, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 0, 0, 0, 0, 0, 0.87451, 0.11765, 0.00784, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
56, 30883, 13.10625, -1.21949, 166.46254, 0.77953, -0.58268, 0.23622, 1.00, 0.59843, 0.5748, -0.55906, 1.00, 0.1156, 0.19507, 0.93994, 0.6582, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 0, 0, 0, 0, 0, 0.69804, 0.21961, 0.08235, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
57, 30882, 13.19248, -1.28363, 166.48827, 0.40945, -0.81102, 0.4252, 1.00, 0.87402, 0.2126, -0.44094, 1.00, 0.11884, 0.19507, 0.93994, 0.6582, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 0, 0, 0, 0, 0, 0.69804, 0.21569, 0.08627, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
58, 30883, 13.10625, -1.21949, 166.46254, 0.77953, -0.58268, 0.23622, 1.00, 0.59843, 0.5748, -0.55906, 1.00, 0.1156, 0.19507, 0.93994, 0.6582, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 0, 0, 0, 0, 0, 0.69804, 0.21961, 0.08235, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
59, 30884, 12.73672, -1.96739, 165.45572, 0.48819, -0.79528, 0.35433, 1.00, 0.79528, 0.25197, -0.55118, 1.00, 0.11884, 0.2157, 0.93994, 0.65869, 0.50196, 0.50196, 0.50196, 1.00, 0, 2, 1, 3, 0, 0, 0, 0, 0.52549, 0.29804, 0.16078, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
60, 30885, 13.54053, -0.2186, 168.42789, -0.65354, -0.74016, 0.15748, 1.00, 0.76378, -0.6378, 0.12598, 1.00, 0.10822, 0.16565, 0.93945, 0.65674, 0.50196, 0.50196, 0.50196, 1.00, 0, 0, 0, 0, 0, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
