VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w, ATTRIBUTE12.x, ATTRIBUTE12.y, ATTRIBUTE12.z, ATTRIBUTE11.x, ATTRIBUTE11.y, ATTRIBUTE11.z, ATTRIBUTE9.x, ATTRIBUTE9.y, ATTRIBUTE9.z, ATTRIBUTE10.x, ATTRIBUTE10.y, ATTRIBUTE10.z
10, 2987, 8.45503, 1.62191, 4.60677, -0.51969, -0.47244, 0.71654, 1.00, -0.59055, 0.80315, 0.09449, -1.00, 0.00821, 0.7749, 0.98431, 0.38431, 0.47059, 1.00, 22, 18, 21, 0, 0, 0, 0, 0, 0.68627, 0.18431, 0.12941, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00493, -0.00265, -0.0003, 0.00084, 0.00029, 0.00272
11, 2986, 8.35576, 1.54963, 4.60214, -0.67717, -0.70866, 0.19685, 1.00, -0.68504, 0.70079, 0.20472, -1.00, 0.04208, 0.79883, 0.98431, 0.37647, 0.47059, 1.00, 22, 6, 21, 18, 0, 0, 0, 0, 0.36078, 0.34902, 0.15294, 0.13725, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00386, -0.00213, 0.00255, 0.00271, 0.0025, -0.00035
12, 2988, 8.47187, 1.71127, 4.73953, -0.16535, 0.0315, 0.98425, 1.00, -0.81102, 0.55906, -0.14961, -1.00, 0.0105, 0.74805, 0.98824, 0.38824, 0.47843, 1.00, 22, 21, 18, 0, 0, 0, 0, 0, 0.64314, 0.23137, 0.12549, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00379, -0.00247, 0.00667, -0.00056, 0.00221, 0.00778
13, 2986, 8.35576, 1.54963, 4.60214, -0.67717, -0.70866, 0.19685, 1.00, -0.68504, 0.70079, 0.20472, -1.00, 0.04208, 0.79883, 0.98431, 0.37647, 0.47059, 1.00, 22, 6, 21, 18, 0, 0, 0, 0, 0.36078, 0.34902, 0.15294, 0.13725, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00386, -0.00213, 0.00255, 0.00271, 0.0025, -0.00035
14, 2987, 8.45503, 1.62191, 4.60677, -0.51969, -0.47244, 0.71654, 1.00, -0.59055, 0.80315, 0.09449, -1.00, 0.00821, 0.7749, 0.98431, 0.38431, 0.47059, 1.00, 22, 18, 21, 0, 0, 0, 0, 0, 0.68627, 0.18431, 0.12941, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00493, -0.00265, -0.0003, 0.00084, 0.00029, 0.00272
15, 2988, 8.47187, 1.71127, 4.73953, -0.16535, 0.0315, 0.98425, 1.00, -0.81102, 0.55906, -0.14961, -1.00, 0.0105, 0.74805, 0.98824, 0.38824, 0.47843, 1.00, 22, 21, 18, 0, 0, 0, 0, 0, 0.64314, 0.23137, 0.12549, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00379, -0.00247, 0.00667, -0.00056, 0.00221, 0.00778
16, 2989, 8.38793, 1.68588, 5.126, -0.28346, -0.45669, 0.84252, 1.00, -0.88976, 0.44882, -0.05512, -1.00, 0.03964, 0.75977, 0.98824, 0.38431, 0.50588, 1.00, 6, 22, 21, 20, 18, 0, 0, 0, 0.38824, 0.32941, 0.24706, 0.01961, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.0031, -0.00014, 0.01193, 0.00015, -0.00011, -0.00151
17, 2986, 8.35576, 1.54963, 4.60214, -0.67717, -0.70866, 0.19685, 1.00, -0.68504, 0.70079, 0.20472, -1.00, 0.04208, 0.79883, 0.98431, 0.37647, 0.47059, 1.00, 22, 6, 21, 18, 0, 0, 0, 0, 0.36078, 0.34902, 0.15294, 0.13725, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00386, -0.00213, 0.00255, 0.00271, 0.0025, -0.00035
18, 2990, 8.48254, 1.87083, 4.89216, -0.06299, 0.22835, 0.9685, 1.00, -0.9685, 0.22047, -0.11811, -1.00, 0.01212, 0.72949, 0.98824, 0.40, 0.4902, 1.00, 22, 21, 18, 20, 0, 0, 0, 0, 0.52549, 0.37255, 0.06667, 0.03529, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00373, -0.00187, 0.01684, 0.00113, 0.00447, 0.00025
19, 2989, 8.38793, 1.68588, 5.126, -0.28346, -0.45669, 0.84252, 1.00, -0.88976, 0.44882, -0.05512, -1.00, 0.03964, 0.75977, 0.98824, 0.38431, 0.50588, 1.00, 6, 22, 21, 20, 18, 0, 0, 0, 0.38824, 0.32941, 0.24706, 0.01961, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.0031, -0.00014, 0.01193, 0.00015, -0.00011, -0.00151
20, 2988, 8.47187, 1.71127, 4.73953, -0.16535, 0.0315, 0.98425, 1.00, -0.81102, 0.55906, -0.14961, -1.00, 0.0105, 0.74805, 0.98824, 0.38824, 0.47843, 1.00, 22, 21, 18, 0, 0, 0, 0, 0, 0.64314, 0.23137, 0.12549, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00379, -0.00247, 0.00667, -0.00056, 0.00221, 0.00778
21, 2991, 8.50424, 2.20924, 5.12658, -0.0315, 0.24409, 0.9685, 1.00, -0.97638, 0.20472, -0.08661, -1.00, 0.01553, 0.70068, 0.99216, 0.41961, 0.50588, 1.00, 21, 22, 20, 0, 0, 0, 0, 0, 0.50588, 0.2902, 0.20392, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00689, -0.00006, 0.03184, 0.00015, -0.00309, -0.00558
22, 2989, 8.38793, 1.68588, 5.126, -0.28346, -0.45669, 0.84252, 1.00, -0.88976, 0.44882, -0.05512, -1.00, 0.03964, 0.75977, 0.98824, 0.38431, 0.50588, 1.00, 6, 22, 21, 20, 18, 0, 0, 0, 0.38824, 0.32941, 0.24706, 0.01961, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.0031, -0.00014, 0.01193, 0.00015, -0.00011, -0.00151
23, 2990, 8.48254, 1.87083, 4.89216, -0.06299, 0.22835, 0.9685, 1.00, -0.9685, 0.22047, -0.11811, -1.00, 0.01212, 0.72949, 0.98824, 0.40, 0.4902, 1.00, 22, 21, 18, 20, 0, 0, 0, 0, 0.52549, 0.37255, 0.06667, 0.03529, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00373, -0.00187, 0.01684, 0.00113, 0.00447, 0.00025
24, 2989, 8.38793, 1.68588, 5.126, -0.28346, -0.45669, 0.84252, 1.00, -0.88976, 0.44882, -0.05512, -1.00, 0.03964, 0.75977, 0.98824, 0.38431, 0.50588, 1.00, 6, 22, 21, 20, 18, 0, 0, 0, 0.38824, 0.32941, 0.24706, 0.01961, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.0031, -0.00014, 0.01193, 0.00015, -0.00011, -0.00151
25, 2991, 8.50424, 2.20924, 5.12658, -0.0315, 0.24409, 0.9685, 1.00, -0.97638, 0.20472, -0.08661, -1.00, 0.01553, 0.70068, 0.99216, 0.41961, 0.50588, 1.00, 21, 22, 20, 0, 0, 0, 0, 0, 0.50588, 0.2902, 0.20392, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00689, -0.00006, 0.03184, 0.00015, -0.00309, -0.00558
26, 2992, 8.44321, 2.02477, 5.58498, -0.13386, -0.27559, 0.95276, 1.00, -0.9685, 0.25197, -0.06299, -1.00, 0.04526, 0.72607, 0.99216, 0.40784, 0.53333, 1.00, 6, 21, 22, 20, 0, 0, 0, 0, 0.42745, 0.37255, 0.16863, 0.03137, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00711, 0.00199, 0.01734, -0.00085, -0.00736, -0.00465
27, 2991, 8.50424, 2.20924, 5.12658, -0.0315, 0.24409, 0.9685, 1.00, -0.97638, 0.20472, -0.08661, -1.00, 0.01553, 0.70068, 0.99216, 0.41961, 0.50588, 1.00, 21, 22, 20, 0, 0, 0, 0, 0, 0.50588, 0.2902, 0.20392, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00689, -0.00006, 0.03184, 0.00015, -0.00309, -0.00558
28, 2993, 8.57378, 2.61617, 5.33246, -0.11024, 0.0315, 0.99213, 1.00, -0.98425, 0.14173, -0.11024, -1.00, 0.01854, 0.67578, 0.99608, 0.44706, 0.51765, 1.00, 21, 20, 22, 0, 0, 0, 0, 0, 0.62745, 0.3451, 0.02745, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01347, 0.00103, 0.04256, 0.00063, -0.00757, -0.01004
29, 2992, 8.44321, 2.02477, 5.58498, -0.13386, -0.27559, 0.95276, 1.00, -0.9685, 0.25197, -0.06299, -1.00, 0.04526, 0.72607, 0.99216, 0.40784, 0.53333, 1.00, 6, 21, 22, 20, 0, 0, 0, 0, 0.42745, 0.37255, 0.16863, 0.03137, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00711, 0.00199, 0.01734, -0.00085, -0.00736, -0.00465
30, 2994, 8.15812, 1.33201, 5.22625, -0.70079, -0.66929, 0.24409, 1.00, -0.70079, 0.70866, -0.05512, -1.00, 0.0658, 0.76318, 0.98039, 0.35686, 0.51373, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.73725, 0.14902, 0.10196, 0.01176, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00158, 0.00006, 0.00433, -0.00076, -0.00082, -0.00157
31, 2986, 8.35576, 1.54963, 4.60214, -0.67717, -0.70866, 0.19685, 1.00, -0.68504, 0.70079, 0.20472, -1.00, 0.04208, 0.79883, 0.98431, 0.37647, 0.47059, 1.00, 22, 6, 21, 18, 0, 0, 0, 0, 0.36078, 0.34902, 0.15294, 0.13725, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00386, -0.00213, 0.00255, 0.00271, 0.0025, -0.00035
32, 2989, 8.38793, 1.68588, 5.126, -0.28346, -0.45669, 0.84252, 1.00, -0.88976, 0.44882, -0.05512, -1.00, 0.03964, 0.75977, 0.98824, 0.38431, 0.50588, 1.00, 6, 22, 21, 20, 18, 0, 0, 0, 0.38824, 0.32941, 0.24706, 0.01961, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.0031, -0.00014, 0.01193, 0.00015, -0.00011, -0.00151
33, 2995, 8.48649, 2.50879, 5.90606, -0.06299, 0.16535, 0.98425, 1.00, -0.99213, 0.11024, -0.08661, -1.00, 0.05853, 0.68213, 0.99216, 0.43922, 0.55686, 1.00, 6, 21, 20, 22, 0, 0, 0, 0, 0.43922, 0.32549, 0.19608, 0.03922, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01399, 0.00256, 0.02155, -0.00026, -0.0091, -0.00154
34, 2992, 8.44321, 2.02477, 5.58498, -0.13386, -0.27559, 0.95276, 1.00, -0.9685, 0.25197, -0.06299, -1.00, 0.04526, 0.72607, 0.99216, 0.40784, 0.53333, 1.00, 6, 21, 22, 20, 0, 0, 0, 0, 0.42745, 0.37255, 0.16863, 0.03137, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00711, 0.00199, 0.01734, -0.00085, -0.00736, -0.00465
35, 2993, 8.57378, 2.61617, 5.33246, -0.11024, 0.0315, 0.99213, 1.00, -0.98425, 0.14173, -0.11024, -1.00, 0.01854, 0.67578, 0.99608, 0.44706, 0.51765, 1.00, 21, 20, 22, 0, 0, 0, 0, 0, 0.62745, 0.3451, 0.02745, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01347, 0.00103, 0.04256, 0.00063, -0.00757, -0.01004
36, 2995, 8.48649, 2.50879, 5.90606, -0.06299, 0.16535, 0.98425, 1.00, -0.99213, 0.11024, -0.08661, -1.00, 0.05853, 0.68213, 0.99216, 0.43922, 0.55686, 1.00, 6, 21, 20, 22, 0, 0, 0, 0, 0.43922, 0.32549, 0.19608, 0.03922, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01399, 0.00256, 0.02155, -0.00026, -0.0091, -0.00154
37, 2993, 8.57378, 2.61617, 5.33246, -0.11024, 0.0315, 0.99213, 1.00, -0.98425, 0.14173, -0.11024, -1.00, 0.01854, 0.67578, 0.99608, 0.44706, 0.51765, 1.00, 21, 20, 22, 0, 0, 0, 0, 0, 0.62745, 0.3451, 0.02745, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01347, 0.00103, 0.04256, 0.00063, -0.00757, -0.01004
38, 2996, 8.6032, 3.06506, 5.47614, -0.1811, 0.40157, 0.89764, 1.00, -0.98425, -0.01575, -0.18898, -1.00, 0.04788, 0.62158, 1.00, 0.47451, 0.52549, 1.00, 20, 21, 22, 0, 0, 0, 0, 0, 0.74118, 0.23922, 0.01961, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.02086, 0.00026, 0.04854, 0.00173, -0.0071, -0.00847
39, 2997, 8.30241, 1.59086, 5.82949, -0.58268, -0.54331, 0.59843, 1.00, -0.7874, 0.55118, -0.26772, -1.00, 0.07019, 0.73584, 0.98431, 0.38039, 0.54902, 1.00, 6, 21, 22, 0, 0, 0, 0, 0, 0.73725, 0.16471, 0.09804, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00366, 0.00145, 0.00737, -0.00121, -0.00311, -0.00272
40, 2989, 8.38793, 1.68588, 5.126, -0.28346, -0.45669, 0.84252, 1.00, -0.88976, 0.44882, -0.05512, -1.00, 0.03964, 0.75977, 0.98824, 0.38431, 0.50588, 1.00, 6, 22, 21, 20, 18, 0, 0, 0, 0.38824, 0.32941, 0.24706, 0.01961, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.0031, -0.00014, 0.01193, 0.00015, -0.00011, -0.00151
41, 2992, 8.44321, 2.02477, 5.58498, -0.13386, -0.27559, 0.95276, 1.00, -0.9685, 0.25197, -0.06299, -1.00, 0.04526, 0.72607, 0.99216, 0.40784, 0.53333, 1.00, 6, 21, 22, 20, 0, 0, 0, 0, 0.42745, 0.37255, 0.16863, 0.03137, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00711, 0.00199, 0.01734, -0.00085, -0.00736, -0.00465
42, 2989, 8.38793, 1.68588, 5.126, -0.28346, -0.45669, 0.84252, 1.00, -0.88976, 0.44882, -0.05512, -1.00, 0.03964, 0.75977, 0.98824, 0.38431, 0.50588, 1.00, 6, 22, 21, 20, 18, 0, 0, 0, 0.38824, 0.32941, 0.24706, 0.01961, 0.01569, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.0031, -0.00014, 0.01193, 0.00015, -0.00011, -0.00151
43, 2997, 8.30241, 1.59086, 5.82949, -0.58268, -0.54331, 0.59843, 1.00, -0.7874, 0.55118, -0.26772, -1.00, 0.07019, 0.73584, 0.98431, 0.38039, 0.54902, 1.00, 6, 21, 22, 0, 0, 0, 0, 0, 0.73725, 0.16471, 0.09804, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00366, 0.00145, 0.00737, -0.00121, -0.00311, -0.00272
44, 2994, 8.15812, 1.33201, 5.22625, -0.70079, -0.66929, 0.24409, 1.00, -0.70079, 0.70866, -0.05512, -1.00, 0.0658, 0.76318, 0.98039, 0.35686, 0.51373, 1.00, 6, 22, 21, 18, 0, 0, 0, 0, 0.73725, 0.14902, 0.10196, 0.01176, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00158, 0.00006, 0.00433, -0.00076, -0.00082, -0.00157
45, 2998, 8.42752, 2.11169, 6.27094, -0.48819, 0.07087, 0.87402, 1.00, -0.81102, 0.33071, -0.48031, -1.00, 0.08112, 0.70361, 0.98431, 0.41569, 0.58039, 1.00, 6, 21, 20, 0, 0, 0, 0, 0, 0.7451, 0.22745, 0.02745, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00761, 0.00295, 0.01021, -0.00066, -0.00444, -0.00218
46, 2992, 8.44321, 2.02477, 5.58498, -0.13386, -0.27559, 0.95276, 1.00, -0.9685, 0.25197, -0.06299, -1.00, 0.04526, 0.72607, 0.99216, 0.40784, 0.53333, 1.00, 6, 21, 22, 20, 0, 0, 0, 0, 0.42745, 0.37255, 0.16863, 0.03137, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00711, 0.00199, 0.01734, -0.00085, -0.00736, -0.00465
47, 2995, 8.48649, 2.50879, 5.90606, -0.06299, 0.16535, 0.98425, 1.00, -0.99213, 0.11024, -0.08661, -1.00, 0.05853, 0.68213, 0.99216, 0.43922, 0.55686, 1.00, 6, 21, 20, 22, 0, 0, 0, 0, 0.43922, 0.32549, 0.19608, 0.03922, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01399, 0.00256, 0.02155, -0.00026, -0.0091, -0.00154
48, 2992, 8.44321, 2.02477, 5.58498, -0.13386, -0.27559, 0.95276, 1.00, -0.9685, 0.25197, -0.06299, -1.00, 0.04526, 0.72607, 0.99216, 0.40784, 0.53333, 1.00, 6, 21, 22, 20, 0, 0, 0, 0, 0.42745, 0.37255, 0.16863, 0.03137, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00711, 0.00199, 0.01734, -0.00085, -0.00736, -0.00465
49, 2998, 8.42752, 2.11169, 6.27094, -0.48819, 0.07087, 0.87402, 1.00, -0.81102, 0.33071, -0.48031, -1.00, 0.08112, 0.70361, 0.98431, 0.41569, 0.58039, 1.00, 6, 21, 20, 0, 0, 0, 0, 0, 0.7451, 0.22745, 0.02745, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00761, 0.00295, 0.01021, -0.00066, -0.00444, -0.00218
50, 2997, 8.30241, 1.59086, 5.82949, -0.58268, -0.54331, 0.59843, 1.00, -0.7874, 0.55118, -0.26772, -1.00, 0.07019, 0.73584, 0.98431, 0.38039, 0.54902, 1.00, 6, 21, 22, 0, 0, 0, 0, 0, 0.73725, 0.16471, 0.09804, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00366, 0.00145, 0.00737, -0.00121, -0.00311, -0.00272
51, 2999, 8.49177, 3.08146, 6.08211, -0.15748, 0.59055, 0.79528, 1.00, -0.98425, -0.04724, -0.15748, -1.00, 0.07617, 0.65674, 0.99608, 0.47843, 0.56863, 1.00, 6, 20, 21, 0, 0, 0, 0, 0, 0.5098, 0.36471, 0.12549, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01858, 0.00056, 0.02161, 0.00049, -0.00812, 0.00165
52, 2995, 8.48649, 2.50879, 5.90606, -0.06299, 0.16535, 0.98425, 1.00, -0.99213, 0.11024, -0.08661, -1.00, 0.05853, 0.68213, 0.99216, 0.43922, 0.55686, 1.00, 6, 21, 20, 22, 0, 0, 0, 0, 0.43922, 0.32549, 0.19608, 0.03922, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.01399, 0.00256, 0.02155, -0.00026, -0.0091, -0.00154
